,name,lat,long
0,Trader Joe's,33.7797438,-84.3677021
1,Publix Super Market at The Plaza Midtown,33.7804706,-84.3888157
2,Alon's Bakery & Market,33.7926156,-84.35283059999999
3,Mac's Beer & Wine,33.7808333,-84.3877778
4,Publix Super Market at Piedmont,33.7703567,-84.3811575
5,Green's Beverages - Ponce De Leon,33.7736253,-84.3629334
6,"Tower Beer, Wine & Spirits",33.8155436,-84.36616529999999
7,Savi Provisions,33.76233289999999,-84.3578751
8,Publix Super Market at East Lake,33.73884080000001,-84.3129927
9,Publix Super Market at Ansley Mall,33.7990623,-84.3718066
10,Wine Shoe,33.7516667,-84.3988889
11,Intown Market & Deli,33.74997500000001,-84.376891
12,Publix Super Market at Ponce,33.77285,-84.354334
13,Perrine's Wine Shop,33.7852499,-84.412048
14,Capital City Wine & Spirits,33.80915069999999,-84.41375529999999
15,Publix Super Market In Atlantic Station,33.7926371,-84.39775759999999
16,Peachtree Package Store,33.7623634,-84.387694
17,Best Buy Package,33.7715128,-84.4396968
18,VinoTeca,33.7622967,-84.3589897
19,QuikTrip,33.7775441,-84.38417129999999
